ID	분류	기능명	요구사항
M-FR-001	인증	소셜 로그인	사용자는 네이버, 카카오, 구글 계정으로 로그인할 수 있어야 한다.
M-FR-002	인증	자동 로그인	앱 재실행 시 저장된 토큰으로 자동 로그인되어야 한다.
M-FR-003	인증	로그아웃	사용자는 로그아웃하여 토큰을 삭제할 수 있어야 한다.
M-FR-010	홈	홈 대시보드	내 스터디 목록, 오늘 일정, 퀴즈 바로가기가 표시되어야 한다.
M-FR-011	홈	오늘 일정 조회	오늘 예정된 스터디 세션이 표시되어야 한다.
M-FR-012	홈	빠른 출석	홈에서 바로 출석 모드를 활성화할 수 있어야 한다.
M-FR-020	스터디 탐색	스터디 검색	주제/형식/유형으로 공개 스터디를 검색할 수 있어야 한다.
M-FR-021	스터디 탐색	스터디 필터	온라인/오프라인/혼합, 지역, 요일, 시간대로 스터디를 필터링할 수 있어야 한다.
M-FR-022	스터디 탐색	스터디 상세	스터디 정보, 모집 현황, 스터디장 평점을 확인할 수 있어야 한다.
M-FR-023	스터디 탐색	가입 신청	공개 스터디에 가입 신청을 할 수 있어야 한다.
M-FR-024	스터디 탐색	찜하기	관심있는 스터디를 찜 목록에 추가할 수 있어야 한다.
M-FR-025	스터디 탐색	찜 목록	찜한 스터디 목록을 조회할 수 있어야 한다.
M-FR-026	스터디 탐색	신청 현황	내 가입 신청 현황을 확인할 수 있어야 한다.
M-FR-027	스터디 탐색	스터디 댓글	스터디 모집글에 댓글 및 대댓글을 작성할 수 있어야 한다.
M-FR-028	스터디 탐색	댓글 조회	스터디 모집글의 댓글 목록을 조회할 수 있어야 한다.
M-FR-028-1	스터디 탐색	스터디 리뷰 작성	스터디 완주자만 해당 스터디에 대한 리뷰(평점 + 텍스트)를 작성할 수 있어야 한다.
M-FR-028-2	스터디 탐색	스터디장 프로필 조회	스터디장을 클릭하면 운영한 스터디 목록과 리뷰를 조회할 수 있어야 한다.
M-FR-028-3	스터디 탐색	스터디장 평점 확인	스터디장 평점은 운영한 스터디의 리뷰에서만 집계되어 표시되어야 한다.
M-FR-030	내 스터디	스터디 목록	참여 중인 스터디 목록을 조회할 수 있어야 한다.
M-FR-031	내 스터디	스터디 홈	스터디 대시보드(공지, 일정, 최근 활동)를 확인할 수 있어야 한다.
M-FR-032	내 스터디	스터디 탈퇴	스터디에서 탈퇴할 수 있어야 한다. (수습기간 외 패널티 적용)
M-FR-033	내 스터디	자동 추방	남은 기간 동안 모두 출석해도 50% 이하의 출석률이 되면 시스템에서 자동 추방되어야 한다.
M-FR-034	내 스터디	추방 예고 알림	자동 추방 대상자에게 추방 예정일 3일 전 경고 알림이 발송되어야 한다.
M-FR-040	채팅	채팅 목록	스터디 내 채널 목록을 조회할 수 있어야 한다.
M-FR-041	채팅	메시지 조회	텍스트 채널의 메시지를 조회할 수 있어야 한다.
M-FR-042	채팅	메시지 전송	텍스트 채널에 메시지를 전송할 수 있어야 한다.
M-FR-043	채팅	이미지 전송	채팅에 이미지를 첨부하여 전송할 수 있어야 한다.
M-FR-050	데일리/회고/자료	자료 목록	스터디 학습 자료 목록을 조회할 수 있어야 한다.
M-FR-051	데일리/회고/자료	자료 상세	자료 내용과 댓글을 확인할 수 있어야 한다.
M-FR-052	데일리/회고/자료	자료 업로드	사진/문서/링크를 업로드할 수 있어야 한다.
M-FR-053	데일리/회고/자료	사진 촬영 업로드	카메라로 촬영한 사진을 바로 업로드할 수 있어야 한다.
M-FR-060	데일리/회고/자료	커리큘럼 조회	주차별 학습 커리큘럼을 확인할 수 있어야 한다.
M-FR-061	데일리/회고/자료	진도 현황	멤버별 진도 현황을 확인할 수 있어야 한다.
M-FR-062	데일리/회고/자료	진도 체크	본인의 학습 진도를 체크할 수 있어야 한다.
M-FR-070	BLE 출석	출석 모드 활성화	스터디원은 HCE 모드를 활성화하여 출석 준비를 할 수 있어야 한다.
M-FR-071	BLE 출석	출석 체크 시작	스터디장은 BLE 리더 모드를 활성화하여 출석 체크를 시작할 수 있어야 한다.
M-FR-072	BLE 출석	BLE 태깅 출석	스터디원이 스터디장 폰에 태깅하면 출석이 기록되어야 한다.
M-FR-073	BLE 출석	출석 확인 알림	출석 성공 시 스터디원에게 확인 알림이 표시되어야 한다.
M-FR-074	BLE 출석	출석 현황 조회	스터디장은 실시간으로 출석 현황을 확인할 수 있어야 한다.
M-FR-075	BLE 출석	셀프 출석 모드	스터디장 미접속 15분 후 셀프 출석이 활성화되어야 한다.
M-FR-076	BLE 출석	출석 캘린더	본인의 출석/미출석 현황을 캘린더로 확인할 수 있어야 한다.
M-FR-077	BLE 출석	세션 메모 작성	오프라인 스터디 종료 후 한 줄 메모를 작성할 수 있어야 한다.
M-FR-078	BLE 출석	세션 메모 조회	해당 세션의 모든 메모를 조회할 수 있어야 한다.
M-FR-080	일정	일정 목록	스터디 일정을 목록/캘린더 뷰로 확인할 수 있어야 한다.
M-FR-081	일정	Google Calendar 연동	스터디 일정을 Google Calendar에 동기화할 수 있어야 한다.
M-FR-082	일정	일정 알림	일정 1시간 전, 10분 전 푸시 알림이 발송되어야 한다.
M-FR-083	일정	일정 상세	일정 상세 정보(시간, 장소, 참석자)를 확인할 수 있어야 한다.
M-FR-090	FCM 알림	푸시 알림 수신	채팅/일정/공지 등 푸시 알림을 수신해야 한다.
M-FR-091	FCM 알림	알림 탭 이동	알림 클릭 시 해당 화면으로 이동해야 한다.
M-FR-092	FCM 알림	알림 목록	수신한 알림 히스토리를 조회할 수 있어야 한다.
M-FR-093	FCM 알림	알림 설정	알림 타입별로 on/off 설정이 가능해야 한다.
M-FR-094	FCM 알림	출석 체크 알림	출석 체크가 시작되면 스터디원에게 알림이 발송되어야 한다.
M-FR-100	퀴즈	오늘의 퀴즈	AI가 생성한 오늘의 복습 퀴즈를 풀 수 있어야 한다.
M-FR-101	퀴즈	퀴즈 풀이	객관식/단답형 퀴즈를 풀 수 있어야 한다.
M-FR-102	퀴즈	퀴즈 결과	퀴즈 결과와 정답 해설을 확인할 수 있어야 한다.
M-FR-103	퀴즈	오답 노트	틀린 문제를 오답 노트에서 복습할 수 있어야 한다.
M-FR-104	퀴즈	반복 학습	틀린 문제가 우선 출제되어야 한다.
M-FR-110	퀴즈 대회	대회 목록	진행중/예정/종료된 퀴즈 대회 목록을 조회할 수 있어야 한다.
M-FR-111	퀴즈 대회	대회 참여	퀴즈 대회를 선택하여 참여할 수 있어야 한다.
M-FR-112	퀴즈 대회	실시간 퀴즈	실시간으로 퀴즈를 풀고 순위를 확인할 수 있어야 한다.
M-FR-113	퀴즈 대회	대회 결과	대회 종료 후 최종 순위와 점수를 확인할 수 있어야 한다.
M-FR-114	퀴즈 대회	역대 순위	과거 퀴즈 대회별 순위를 조회할 수 있어야 한다.
M-FR-115	퀴즈 대회	틀린 문제 확인	대회 종료 후 틀린 문제와 해설을 확인할 수 있어야 한다.
M-FR-116	퀴즈 대회	문제별 정답률	각 문제의 전체 참가자 정답률을 확인할 수 있어야 한다.
M-FR-117	퀴즈 대회	내 대회 기록	참여했던 대회 목록과 점수/순위 히스토리를 조회할 수 있어야 한다.
M-FR-118	퀴즈 대회	퀴즈왕 뱃지	퀴즈 대회 TOP3 달성 시 퀴즈왕 뱃지가 영구 부여되어야 한다.
M-FR-120	퀴즈 코스	코스 목록	학습 가능한 퀴즈 코스 목록을 조회할 수 있어야 한다.
M-FR-121	퀴즈 코스	코스 상세	코스 설명, 섹션 목록, 획득 가능 뱃지를 확인할 수 있어야 한다.
M-FR-122	퀴즈 코스	섹션 목록	섹션별 진행 상황(잠금/해금, 최고점수)을 확인할 수 있어야 한다.
M-FR-123	퀴즈 코스	섹션 문제 풀이	해금된 섹션의 문제를 풀 수 있어야 한다.
M-FR-124	퀴즈 코스	제출 결과	제출 후 점수, 정답/오답, 해설을 확인할 수 있어야 한다.
M-FR-125	퀴즈 코스	섹션 해금	70% 이상 정답 시 다음 섹션이 해금되어야 한다.
M-FR-126	퀴즈 코스	코스 완료 뱃지	코스의 모든 섹션 통과 시 마스터 뱃지가 영구 부여되어야 한다.
M-FR-127	퀴즈 코스	내 진행 현황	전체 코스별 진행 현황을 조회할 수 있어야 한다.
M-FR-128	퀴즈 코스	무제한 재도전	섹션은 불통과 시에도 제한 없이 재도전할 수 있어야 한다.
M-FR-130	데일리/회고/자료	데일리 리포트	오늘의 데일리 요약을 조회할 수 있어야 한다.
M-FR-131	데일리/회고/자료	데일리 히스토리	과거 데일리 리포트를 조회할 수 있어야 한다.
M-FR-140	마이페이지	프로필 조회	내 프로필 정보를 확인할 수 있어야 한다.
M-FR-141	마이페이지	프로필 수정	닉네임, 프로필 이미지를 수정할 수 있어야 한다.
M-FR-142	마이페이지	검색 허용 설정	친구 검색 허용 여부를 설정할 수 있어야 한다.
M-FR-143	마이페이지	내 활동	포인트/레벨/스트릭/뱃지를 확인할 수 있어야 한다.
M-FR-144	마이페이지	잔디 그래프	GitHub 스타일의 활동 잔디 그래프를 조회할 수 있어야 한다.
