ID	분류	화면명	설명
M-001	공통	스플래시	앱 로딩 화면
M-002	공통	로그인	소셜 로그인 화면 (네이버/카카오/구글)
M-003	공통	추가 정보 입력	최초 로그인 시 닉네임 등 추가 정보 입력
M-010	홈	홈 대시보드	내 스터디 + 오늘 일정 + 퀴즈 바로가기
M-011	홈	알림 목록	수신 알림 히스토리
M-020	스터디 탐색	스터디 탐색	공개 스터디 검색/필터 (지역/요일/시간대)
M-021	스터디 탐색	스터디 상세	스터디 정보 + 스터디장 평점 + 가입 신청 + 찜하기
M-022	스터디 탐색	스터디 댓글	모집글 댓글/대댓글 작성 및 조회
M-023	스터디 탐색	찜한 스터디 목록	관심 스터디 찜 목록
M-024	스터디 탐색	내 신청 목록	가입 신청 현황
M-025	스터디 탐색	모집글 템플릿	템플릿 선택/저장/불러오기
M-026	완료스터디	스터디 리뷰	스터디 리뷰 작성/조회 화면
M-027	스터디 탐색	스터디장 프로필	스터디장 정보 + 운영한 스터디 + 리뷰
M-028	완료스터디	완료 스터디 상세	완료된 스터디 정보/리뷰 목록/활동 통계
M-030	내 스터디	내 스터디 목록	참여 중인 스터디 목록
M-031	내 스터디	스터디 홈	스터디 대시보드 (공지/일정/최근활동)
M-032	내 스터디	채팅 채널 목록	스터디 내 텍스트 채널 목록
M-033	내 스터디	채팅	텍스트 채널 메시지 화면
M-034	데일리/회고/자료	자료실	학습 자료 목록
M-035	데일리/회고/자료	자료 상세	자료 내용/댓글
M-036	데일리/회고/자료	자료 업로드	사진/문서/링크 업로드
M-037	데일리/회고/자료	커리큘럼	주차별 학습 진도
M-038	데일리/회고/자료	진도 현황	멤버별 진도 대시보드
M-039	내 스터디	팀 대시보드	팀 현황 요약 + 참여 예측
M-039-1	내 스터디	신청 관리 (스터디장)	신청 승인/거절 화면
M-039-2	내 스터디	모집 연장 (스터디장)	모집 기간 연장 설정 (1회 제한)
M-039-3	내 스터디	임시 채널	인원 부족 시 확정자 논의 채널 (텍스트만)
M-039-4	내 스터디	정식 전환 확인 (스터디장)	임시→정식 채널 전환 확인
M-040	BLE 출석	출석하기 (스터디원)	HCE 모드 활성화 화면
M-041	BLE 출석	출석 체크 (스터디장)	BLE 리더 모드 + 실시간 출석 현황
M-042	BLE 출석	출석 성공	출석 완료 확인 화면
M-043	BLE 출석	셀프 출석	스터디장 부재 시 셀프 출석 화면
M-044	BLE 출석	출석 캘린더	출석/미출석 현황 캘린더 뷰
M-045	BLE 출석	세션 메모	오프라인 스터디 한 줄 메모 작성/조회
M-050	일정	일정 목록	스터디 일정 목록 뷰
M-051	일정	일정 캘린더	월별 일정 캘린더 뷰
M-052	일정	일정 상세	일정 상세 정보 (시간/장소/참석자)
M-053	일정	Google Calendar 연동	연동 설정 화면
M-060	퀴즈	퀴즈 홈	오늘의 퀴즈 + 오답 노트 + 대회/코스 탭
M-061	퀴즈	퀴즈 풀이	문제 풀이 화면 (객관식/단답형)
M-062	퀴즈	퀴즈 결과	결과 + 정답 해설
M-063	퀴즈	오답 노트	틀린 문제 복습 목록
M-064	퀴즈	오답 복습	오답 문제 풀이 화면
M-070	퀴즈 대회	대회 목록	진행중/예정/종료 대회 목록
M-071	퀴즈 대회	대회 대기실	참가자 대기 화면
M-072	퀴즈 대회	대회 진행	실시간 퀴즈 풀이 + 순위 표시
M-073	퀴즈 대회	대회 결과	최종 순위/점수
M-074	퀴즈 대회	역대 대회 순위	과거 대회별 순위 조회
M-075	퀴즈 대회	대회 결과 상세	틀린 문제 + 해설 + 문제별 정답률
M-076	퀴즈 대회	내 대회 기록	참여했던 대회 목록, 점수/순위 히스토리
M-077	퀴즈 대회	꼬멘틀 게임	IT 용어 추측 게임 (Wordle 스타일)
M-078	퀴즈 대회	꼬멘틀 결과	꼬멘틀 결과/정답 공개/공유
M-080	퀴즈 코스	코스 목록	학습 코스 탐색 화면
M-081	퀴즈 코스	코스 상세	코스 정보/섹션 목록/획득 가능 뱃지
M-082	퀴즈 코스	섹션 문제 풀이	섹션 문제 풀이 화면
M-083	퀴즈 코스	섹션 결과	점수/해설 확인 화면
M-084	퀴즈 코스	내 진행 현황	코스별 진행 상황 대시보드
M-085	퀴즈 코스	섹션 해금 알림	다음 섹션 해금 축하 팝업
M-086	퀴즈 코스	뱃지 획득 알림	코스 완료 마스터 뱃지 획득 팝업
M-087	퀴즈 코스	카테고리별 퀴즈	스터디 주제 카테고리 기반 퀴즈 탐색
M-088	퀴즈 코스	소분류별 퀴즈 목록	대분류 내 소분류별 퀴즈 코스
M-090	데일리/회고/자료	데일리 리포트	오늘의 데일리 요약
M-091	데일리/회고/자료	데일리 히스토리	과거 데일리 목록
M-092	데일리/회고/자료	회고 목록	회고 세션 목록
M-093	데일리/회고/자료	회고 작성	KPT 작성 화면
M-100	마이페이지	마이페이지	프로필/설정 메인
M-101	마이페이지	프로필 수정	닉네임/프로필 이미지 수정
M-102	마이페이지	알림 설정	푸시 알림 타입별 on/off
M-103	마이페이지	내 활동	뱃지/패널티/레벨/스트릭
M-104	마이페이지	잔디 그래프	GitHub 스타일 연간/월간 활동 잔디
M-105	마이페이지	날짜별 활동	잔디 클릭 시 활동 상세
M-106	마이페이지	개인정보 설정	검색 허용 여부 등
M-110	친구	친구 목록	친구 목록 + 온라인 상태 표시
M-111	친구	친구 검색	닉네임으로 사용자 검색
M-112	친구	친구 요청 목록	받은/보낸 친구 요청 관리
M-113	친구	사용자 프로필	다른 사용자 프로필 조회 + 친구 요청
M-114	친구	차단 목록	차단한 사용자 관리
M-120	DM	DM 목록	1:1 대화 목록
M-121	DM	DM 채팅	1:1 메시지 화면
M-130	자유게시판	자유게시판 목록	프로젝트/공모전/채용 게시글 목록
M-131	AI	스터디 추천	내 일정에 맞는 스터디 추천
M-132	자유게시판	게시글 작성	게시글 작성 화면
M-133	자유게시판	게시글 상세	게시글 내용/댓글
M-140	팀원모집	팀원모집 목록	해커톤/프로젝트/공모전 팀원 모집글 목록
M-141	팀원모집	모집글 작성	팀원 모집글 작성 화면
M-142	팀원모집	모집글 상세	모집글 상세/지원 현황
M-143	팀원모집	지원하기	팀원 지원 화면
M-144	팀원모집	지원 현황	내 지원 현황 목록
