ID	분류	화면명	설명	우선순위
M-001	공통	스플래시	앱 로딩 화면	P0
M-002	공통	로그인	소셜 로그인 화면 (네이버/카카오/구글)	P0
M-003	공통	추가 정보 입력	최초 로그인 시 닉네임 등 추가 정보 입력	P0
M-010	홈	홈 대시보드	내 스터디 + 오늘 일정 + 퀴즈 바로가기	P0
M-011	홈	알림 목록	수신 알림 히스토리	P1
M-020	스터디 탐색	스터디 탐색	공개 스터디 검색/필터 (지역/요일/시간대)	P0
M-021	스터디 탐색	스터디 상세	스터디 정보 + 스터디장 평점 + 가입 신청 + 찜하기	P0
M-022	스터디 탐색	스터디 댓글	모집글 댓글/대댓글 작성 및 조회	P1
M-023	스터디 탐색	찜한 스터디 목록	관심 스터디 찜 목록	P1
M-024	스터디 탐색	내 신청 목록	가입 신청 현황	P1
M-025	스터디 탐색	모집글 템플릿	템플릿 선택/저장/불러오기	P2
M-030	내 스터디	내 스터디 목록	참여 중인 스터디 목록	P0
M-031	내 스터디	스터디 홈	스터디 대시보드 (공지/일정/최근활동)	P0
M-032	내 스터디	채팅 채널 목록	스터디 내 텍스트 채널 목록	P1
M-033	내 스터디	채팅	텍스트 채널 메시지 화면	P1
M-034	내 스터디	자료실	학습 자료 목록	P1
M-035	내 스터디	자료 상세	자료 내용/댓글	P1
M-036	내 스터디	자료 업로드	사진/문서/링크 업로드	P1
M-037	내 스터디	커리큘럼	주차별 학습 진도	P1
M-038	내 스터디	진도 현황	멤버별 진도 대시보드	P1
M-039	내 스터디	팀 대시보드	팀 현황 요약 + 참여 예측	P1
M-039-1	내 스터디	신청 관리 (스터디장)	신청 승인/거절 화면	P1
M-039-2	내 스터디	모집 연장 (스터디장)	모집 기간 연장 설정 (1회 제한)	P1
M-039-3	내 스터디	임시 채널	인원 부족 시 확정자 논의 채널 (텍스트만)	P1
M-039-4	내 스터디	정식 전환 확인 (스터디장)	임시→정식 채널 전환 확인	P1
M-040	BLE 출석	출석하기 (스터디원)	HCE 모드 활성화 화면	P0
M-041	BLE 출석	출석 체크 (스터디장)	BLE 리더 모드 + 실시간 출석 현황	P0
M-042	BLE 출석	출석 성공	출석 완료 확인 화면	P0
M-043	BLE 출석	셀프 출석	스터디장 부재 시 셀프 출석 화면	P1
M-044	BLE 출석	출석 캘린더	출석/미출석 현황 캘린더 뷰	P1
M-045	BLE 출석	세션 메모	오프라인 스터디 한 줄 메모 작성/조회	P1
M-050	일정	일정 목록	스터디 일정 목록 뷰	P0
M-051	일정	일정 캘린더	월별 일정 캘린더 뷰	P0
M-052	일정	일정 상세	일정 상세 정보 (시간/장소/참석자)	P1
M-053	일정	Google Calendar 연동	연동 설정 화면	P1
M-060	퀴즈	퀴즈 홈	오늘의 퀴즈 + 오답 노트 + 대회/코스 탭	P0
M-061	퀴즈	퀴즈 풀이	문제 풀이 화면 (객관식/단답형)	P0
M-062	퀴즈	퀴즈 결과	결과 + 정답 해설	P0
M-063	퀴즈	오답 노트	틀린 문제 복습 목록	P1
M-064	퀴즈	오답 복습	오답 문제 풀이 화면	P1
M-070	퀴즈 대회	대회 목록	진행중/예정/종료 대회 목록	P1
M-071	퀴즈 대회	대회 대기실	참가자 대기 화면	P1
M-072	퀴즈 대회	대회 진행	실시간 퀴즈 풀이 + 순위 표시	P1
M-073	퀴즈 대회	대회 결과	최종 순위/점수	P1
M-074	퀴즈 대회	역대 대회 순위	과거 대회별 순위 조회	P2
M-075	퀴즈 대회	대회 결과 상세	틀린 문제 + 해설 + 문제별 정답률	P1
M-076	퀴즈 대회	내 대회 기록	참여했던 대회 목록, 점수/순위 히스토리	P2
M-080	퀴즈 코스	코스 목록	학습 코스 탐색 화면	P1
M-081	퀴즈 코스	코스 상세	코스 정보/섹션 목록/획득 가능 뱃지	P1
M-082	퀴즈 코스	섹션 문제 풀이	섹션 문제 풀이 화면	P1
M-083	퀴즈 코스	섹션 결과	점수/해설 확인 화면	P1
M-084	퀴즈 코스	내 진행 현황	코스별 진행 상황 대시보드	P1
M-085	퀴즈 코스	섹션 해금 알림	다음 섹션 해금 축하 팝업	P1
M-086	퀴즈 코스	뱃지 획득 알림	코스 완료 마스터 뱃지 획득 팝업	P1
M-090	데일리	데일리 리포트	오늘의 데일리 요약	P1
M-091	데일리	데일리 히스토리	과거 데일리 목록	P2
M-092	회고	회고 목록	회고 세션 목록	P1
M-093	회고	회고 작성	KPT 작성 화면	P1
M-100	마이페이지	마이페이지	프로필/설정 메인	P1
M-101	마이페이지	프로필 수정	닉네임/프로필 이미지 수정	P1
M-102	마이페이지	알림 설정	푸시 알림 타입별 on/off	P1
M-103	마이페이지	내 활동	뱃지/패널티/레벨/스트릭	P2
M-104	마이페이지	잔디 그래프	GitHub 스타일 연간/월간 활동 잔디	P1
M-105	마이페이지	날짜별 활동	잔디 클릭 시 활동 상세	P2
M-106	마이페이지	개인정보 설정	검색 허용 여부 등	P1
M-110	친구	친구 목록	친구 목록 + 온라인 상태 표시	P1
M-111	친구	친구 검색	닉네임으로 사용자 검색	P1
M-112	친구	친구 요청 목록	받은/보낸 친구 요청 관리	P1
M-113	친구	사용자 프로필	다른 사용자 프로필 조회 + 친구 요청	P1
M-114	친구	차단 목록	차단한 사용자 관리	P2
M-120	DM	DM 목록	1:1 대화 목록	P1
M-121	DM	DM 채팅	1:1 메시지 화면	P1
M-130	AI	AI 챗봇	팀 자료 기반 AI 대화	P2
M-131	AI	스터디 추천	내 일정에 맞는 스터디 추천	P1
